name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
OperatingIncome,"74,253,000,000","66,288,000,000","63,930,000,000","70,898,000,000","61,344,000,000","60,024,000,000","71,230,000,000","52,503,000,000","48,999,000,000","55,241,000,000","33,790,000,000","18,385,000,000","7,658,000,000","6,275,000,000","4,409,000,000","2,453,000,000","1,650,000,000","349,000,000","25,000,000","45,000,000","-344,000,000","620,000,000","386,000,000","261,000,000","-778,000,000","-1,204,000,000","661,000,000","395,419,000","110,400,000","805,700,000","447,300,000","712,000,000","634,300,000","620,300,000","371,500,000","273,500,000","147,300,000"
NetNonOperatingInterestIncomeExpense,"739,000,000","890,000,000","1,385,000,000","2,446,000,000","2,878,000,000","2,543,000,000","2,188,000,000","1,411,000,000","1,480,000,000","1,088,000,000","519,000,000","311,000,000","407,000,000","653,000,000","647,000,000","394,000,000","165,000,000","61,000,000","61,000,000","107,000,000","202,000,000","189,000,000","97,000,000","38,000,000","11,000,000","0","52,000,000","3,631,000",,,,,,,,,
	InterestIncomeNonOperating,"3,465,000,000","3,763,000,000","4,961,000,000","5,686,000,000","5,201,000,000","3,999,000,000","2,921,000,000","1,795,000,000","1,616,000,000","1,088,000,000","519,000,000","311,000,000","407,000,000","653,000,000","647,000,000","394,000,000",,"64,000,000","69,000,000","118,000,000","218,000,000","210,000,000","144,000,000","100,000,000","82,000,000","60,000,000","100,000,000","43,284,000",,,,,,,,,
	InterestExpenseNonOperating,"2,726,000,000","2,873,000,000","3,576,000,000","3,240,000,000","2,323,000,000","1,456,000,000","733,000,000","384,000,000","136,000,000",,,,,,,"0",,"3,000,000","8,000,000","11,000,000","16,000,000","21,000,000","47,000,000","62,000,000","71,000,000","60,000,000","48,000,000","39,653,000",,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,"-165,000,000",,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-240,000,000","-87,000,000","422,000,000","-441,000,000","-133,000,000","-1,195,000,000","-903,000,000","-431,000,000","-324,000,000","-566,000,000","-104,000,000","-156,000,000","-81,000,000","-33,000,000","-48,000,000","-29,000,000","-18,000,000","-27,000,000","6,000,000","-65,000,000","90,000,000","283,000,000","193,000,000","30,000,000","-278,000,000","-91,000,000","-39,000,000","101,236,000","29,300,000","49,600,000","52,400,000","66,500,000","110,000,000","35,800,000","38,900,000","36,200,000","-27,200,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,"5,000,000","37,000,000","-42,000,000","82,000,000","375,000,000","222,000,000","-2,000,000","11,000,000","91,000,000","-61,000,000","-34,304,000",,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000",,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,"415,000,000",,"-81,000,000","620,000,000","-48,000,000","0","0","-23,000,000","-26,000,000","-28,000,000","0","-98,000,000","-27,000,000","0","-292,000,000","-179,000,000","23,000,000","126,855,000","29,300,000","49,600,000","52,400,000","66,500,000","110,000,000","35,800,000","38,900,000","36,200,000","-27,200,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,"0","0","23,000,000","26,000,000","30,000,000","0","8,000,000","27,000,000","0","217,000,000","179,000,000","-23,000,000","-126,855,000",,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,"-4,000,000","-10,000,000","-2,000,000",,"90,000,000","-230,000,000",,"75,000,000",,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-240,000,000","-87,000,000","422,000,000","-441,000,000","-133,000,000","-1,195,000,000","-903,000,000","-431,000,000","-324,000,000","-566,000,000","-104,000,000","-156,000,000","-81,000,000","-33,000,000","-48,000,000","-29,000,000",,"-9,000,000","-5,000,000","5,000,000","8,000,000","6,000,000","-2,000,000","-8,000,000","3,000,000","-3,000,000","-1,000,000","8,685,000",,,,,,,,,
PretaxIncome,"74,752,000,000","67,091,000,000","65,737,000,000","72,903,000,000","64,089,000,000","61,372,000,000","72,515,000,000","53,483,000,000","50,155,000,000","55,763,000,000","34,205,000,000","18,540,000,000","7,984,000,000","6,895,000,000","5,008,000,000","2,818,000,000","1,815,000,000","383,000,000","92,000,000","87,000,000","-52,000,000","1,092,000,000","676,000,000","329,000,000","-1,045,000,000","-1,295,000,000","674,000,000","500,286,000","139,700,000","855,500,000","499,700,000","778,500,000","744,300,000","656,200,000","410,400,000","309,800,000","120,000,000"
TaxProvision,"10,822,000,000","9,680,000,000","10,481,000,000","13,372,000,000","15,738,000,000","15,685,000,000","19,121,000,000","13,973,000,000","13,118,000,000","14,030,000,000","8,283,000,000","4,527,000,000","2,280,000,000","2,061,000,000","1,512,000,000","829,000,000","480,000,000","107,000,000","24,000,000","22,000,000","-15,000,000","306,000,000","75,000,000","20,000,000","0","-479,000,000","250,000,000","190,108,000","53,100,000","325,100,000","189,900,000","303,600,000","290,300,000","255,900,000","192,900,000","155,800,000","58,800,000"
NetIncomeCommonStockholders,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","69,000,000","65,000,000","-25,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
	NetIncome,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","69,000,000","65,000,000","-25,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
		NetIncomeIncludingNoncontrollingInterests,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","69,000,000","65,000,000","-25,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
			NetIncomeContinuousOperations,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","68,000,000","65,000,000","-37,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,"1,000,000",,"12,000,000",,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,"0","0","1,000,000","0","12,000,000",,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","69,000,000","65,000,000","-25,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
BasicEPS,,"3.31","2.993","3.003","2.318","2.088","2.32","1.623","1.43","1.594","1.002","0.55","0.228","0.196","0.144","0.084","0.059","0.013","0.003","0.003","-0.001","0.043","0.038","0.021","-0.074","-0.059","0.031","0.023","0.007","0.039","0.023","0.034","0.032","0.028","0.015","0.011","0.004"
DilutedEPS,,"3.28","2.973","2.978","2.303","2.078","2.305","1.613","1.42","1.577","0.989","0.541","0.225","0.191","0.14","0.081","0.056","0.013","0.003","0.003","-0.001","0.039","0.032","0.019","-0.074","-0.059","0.031","0.023","0.007","0.039","0.023","0.034","0.032","0.028","0.015","0.011","0.004"
BasicAverageShares,,"17,352,119,000","18,471,336,000","19,821,508,000","20,868,968,000","21,883,280,000","23,013,684,000","24,342,288,000","25,909,268,000","26,174,904,000","25,879,224,000","25,464,908,000","25,004,448,000","24,684,576,000","24,208,660,000","23,633,624,000","22,636,292,000","20,809,040,000","20,195,336,000","19,881,232,000","19,354,328,000","18,175,808,000","16,033,584,000","14,781,088,000","14,118,944,000","13,858,208,000","13,781,264,000","13,298,320,000","13,107,027,027","13,687,741,935","13,448,682,171","14,071,111,111","14,363,841,808","14,556,363,636","14,674,698,795","14,373,333,333","13,708,800,000"
DilutedAverageShares,,"17,528,214,000","18,595,652,000","20,000,436,000","21,006,768,000","22,001,124,000","23,172,276,000","24,490,652,000","26,086,536,000","26,469,940,000","26,226,060,000","25,891,936,000","25,396,140,000","25,259,892,000","24,900,176,000","24,570,728,000","23,989,840,000","21,689,416,000","20,354,096,000","20,259,960,000","19,354,328,000","20,178,144,000","19,506,368,000","18,806,704,000","14,118,944,000","13,858,208,000","13,781,264,000","13,306,720,000","13,107,027,027","13,687,741,935","13,448,682,171","14,071,111,111","14,363,841,808","14,556,363,636","14,674,698,795","14,373,333,333","13,708,800,000"
TotalOperatingIncomeAsReported,"74,253,000,000","66,288,000,000","63,930,000,000","70,898,000,000","61,344,000,000","60,024,000,000","71,230,000,000","52,503,000,000","48,999,000,000","55,241,000,000","33,790,000,000","18,385,000,000","7,658,000,000","6,275,000,000","4,409,000,000","2,453,000,000","1,650,000,000","326,000,000","-1,000,000","17,000,000","-344,000,000","522,000,000","359,000,000","261,000,000","-1,070,000,000","-1,383,000,000","684,000,000","522,274,000","110,400,000","805,700,000","447,300,000","712,000,000","634,300,000","620,300,000","371,500,000","273,500,000","147,300,000"
TotalExpenses,"219,882,000,000","208,227,000,000","196,244,000,000","194,697,000,000","167,890,000,000","155,615,000,000","162,485,000,000","130,292,000,000","121,911,000,000","101,267,000,000","74,459,000,000","46,840,000,000","28,879,000,000","26,204,000,000","19,597,000,000","16,862,000,000","12,281,000,000","7,930,000,000","6,182,000,000","5,697,000,000","5,707,000,000","7,363,000,000","5,748,000,000","5,680,000,000","7,859,000,000","11,037,000,000","10,401,000,000","8,793,329,000","7,866,600,000","6,280,800,000","5,861,500,000","4,846,400,000","4,649,700,000","3,451,100,000","2,289,600,000","1,628,400,000","1,771,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","68,000,000","65,000,000","-37,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
NormalizedIncome,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","288,971,279.373","59,869,565.217","117,298,850.575","-95,346,153.846","586,620,879.121","427,634,615.385","310,878,419.453","-764,000,000","-760,549,806.95","447,905,044.51","252,796,254.203","68,436,936.292","499,648,579.778","277,313,468.081","434,333,718.69","386,903,399.167","378,461,017.982","194,160,000","132,280,000","77,520,000"
InterestIncome,"3,465,000,000","3,763,000,000","4,961,000,000","5,686,000,000","5,201,000,000","3,999,000,000","2,921,000,000","1,795,000,000","1,616,000,000","1,088,000,000","519,000,000","311,000,000","407,000,000","653,000,000","647,000,000","394,000,000",,"64,000,000","69,000,000","118,000,000","218,000,000","210,000,000","144,000,000","100,000,000","82,000,000","60,000,000","100,000,000","43,284,000",,,,,,,,,
InterestExpense,"2,726,000,000","2,873,000,000","3,576,000,000","3,240,000,000","2,323,000,000","1,456,000,000","733,000,000","384,000,000","136,000,000",,,,,,,"0",,"3,000,000","8,000,000","11,000,000","16,000,000","21,000,000","47,000,000","62,000,000","71,000,000","60,000,000","48,000,000","39,653,000",,,,,,,,,
NetInterestIncome,"739,000,000","890,000,000","1,385,000,000","2,446,000,000","2,878,000,000","2,543,000,000","2,188,000,000","1,411,000,000","1,480,000,000","1,088,000,000","519,000,000","311,000,000","407,000,000","653,000,000","647,000,000","394,000,000","165,000,000","61,000,000","61,000,000","107,000,000","202,000,000","189,000,000","97,000,000","38,000,000","11,000,000","0","52,000,000","3,631,000",,,,,,,,,
EBIT,"77,478,000,000","69,964,000,000","69,313,000,000","76,143,000,000","66,412,000,000","62,828,000,000","73,248,000,000","53,867,000,000","50,291,000,000","55,241,000,000","33,790,000,000","18,385,000,000","7,658,000,000","6,275,000,000","4,409,000,000","2,818,000,000","1,650,000,000","386,000,000","100,000,000","98,000,000","-36,000,000","1,113,000,000","723,000,000","391,000,000","-974,000,000","-1,235,000,000","722,000,000","539,939,000","110,400,000","805,700,000","447,300,000","712,000,000","634,300,000","620,300,000","371,500,000","273,500,000","147,300,000"
EBITDA,"88,384,000,000"
ReconciledCostOfRevenue,"180,068,000,000","169,559,000,000","161,782,000,000","163,756,000,000","141,048,000,000","131,376,000,000","140,089,000,000","112,258,000,000","106,606,000,000","87,846,000,000","64,431,000,000","39,541,000,000","23,397,000,000","21,334,000,000","15,852,000,000","13,717,000,000","9,888,000,000","6,020,000,000","4,499,000,000","4,139,000,000","4,128,000,000","5,817,000,000","4,438,000,000","4,462,000,000","5,713,000,000","8,865,000,000","8,204,000,000","6,844,915,000","5,082,700,000","3,774,200,000","3,109,700,000","2,403,500,000","2,570,000,000","1,913,200,000","1,225,700,000","840,000,000","1,076,000,000"
ReconciledDepreciation,"10,906,000,000","11,056,000,000","12,547,000,000","10,903,000,000","10,157,000,000","10,505,000,000","11,257,000,000","7,946,000,000","6,757,000,000","3,277,000,000","1,814,000,000","1,027,000,000","703,000,000","473,000,000","317,000,000","225,000,000","179,000,000","150,000,000","113,000,000","118,000,000","102,000,000","84,000,000","85,000,000","111,000,000","118,000,000","156,000,000","127,000,000","167,958,000","166,100,000","217,200,000","204,400,000","202,700,000","124,800,000","77,700,000","70,500,000","51,100,000","41,800,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"63,930,000,000","57,411,000,000","55,256,000,000","59,531,000,000","48,351,000,000","45,687,000,000","53,394,000,000","39,510,000,000","37,037,000,000","41,733,000,000","25,922,000,000","14,013,000,000","5,704,000,000","4,834,000,000","3,496,000,000","1,989,000,000","1,335,000,000","276,000,000","68,000,000","65,000,000","-37,000,000","786,000,000","601,000,000","309,000,000","-1,045,000,000","-816,000,000","424,000,000","310,178,000","86,600,000","530,400,000","309,800,000","474,900,000","454,000,000","400,300,000","217,500,000","154,000,000","61,200,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,"415,000,000",,"-81,000,000","620,000,000","-48,000,000","0","0","-18,000,000","11,000,000","-70,000,000","82,000,000","277,000,000","195,000,000","-2,000,000","-281,000,000","-88,000,000","-38,000,000","92,551,000","29,300,000","49,600,000","52,400,000","66,500,000","110,000,000","35,800,000","38,900,000","36,200,000","-27,200,000"
TotalUnusualItems,,,,,,,,,,,"415,000,000",,"-81,000,000","620,000,000","-48,000,000","0","0","-18,000,000","11,000,000","-70,000,000","82,000,000","277,000,000","195,000,000","-2,000,000","-281,000,000","-88,000,000","-38,000,000","92,551,000","29,300,000","49,600,000","52,400,000","66,500,000","110,000,000","35,800,000","38,900,000","36,200,000","-27,200,000"
NormalizedEBITDA,"88,384,000,000","81,020,000,000","81,860,000,000","87,046,000,000","76,569,000,000","73,333,000,000","84,505,000,000","61,813,000,000","57,048,000,000","58,518,000,000","35,604,000,000","19,412,000,000","8,361,000,000","6,748,000,000","4,726,000,000","3,043,000,000","1,829,000,000","554,000,000","202,000,000","286,000,000","-16,000,000","920,000,000","613,000,000","504,000,000","-575,000,000","-991,000,000","887,000,000","615,346,000","247,200,000","973,300,000","599,300,000","848,200,000","649,100,000","662,200,000","403,100,000","288,400,000","216,300,000"
TaxRateForCalcs,"0.145","0.144","0.159","0.183","0.246","0.256","0.264","0.261","0.262","0.252","0.242","0.244","0.286","0.299","0.302","0.294","0.264","0.279","0.261","0.253","0.288","0.28","0.111","0.061","0","0.37","0.371","0.38","0.38","0.38","0.38","0.39","0.39","0.39","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5,028,720.627","2,869,565.217","-17,701,149.425","23,653,846.154","77,620,879.121","21,634,615.385","-121,580.547","0","-32,549,806.95","-14,094,955.49","35,169,254.203","11,136,936.292","18,848,579.778","19,913,468.081","25,933,718.69","42,903,399.167","13,961,017.982","15,560,000","14,480,000","-10,880,000"
